offer_event_id,call_id,offer_id,campaign,response,revenue_usd
OFF-000056,CALL-00000056,OFR-001,RETENTION_2026,Declined,0.0
OFF-000057,CALL-00000057,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000058,CALL-00000058,OFR-003,ADD_LINE_Q3,Accepted,27.5
OFF-000059,CALL-00000059,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000060,CALL-00000060,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000061,CALL-00000061,OFR-001,RETENTION_2026,Accepted,65.0
OFF-000062,CALL-00000062,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000063,CALL-00000063,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000064,CALL-00000064,OFR-004,LOYALTY_RENEW,Accepted,102.5
OFF-000065,CALL-00000065,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000066,CALL-00000066,OFR-001,RETENTION_2026,No Response,0.0
OFF-000067,CALL-00000067,OFR-002,UPSELL_FIBER,Accepted,40.0
OFF-000068,CALL-00000068,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000069,CALL-00000069,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000070,CALL-00000070,OFR-005,PREMIUM_UPGRADE,Accepted,77.5
OFF-000071,CALL-00000071,OFR-001,RETENTION_2026,Declined,0.0
OFF-000072,CALL-00000072,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000073,CALL-00000073,OFR-003,ADD_LINE_Q3,Accepted,15.0
OFF-000074,CALL-00000074,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000075,CALL-00000075,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000076,CALL-00000076,OFR-001,RETENTION_2026,Accepted,52.5
OFF-000077,CALL-00000077,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000078,CALL-00000078,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000079,CALL-00000079,OFR-004,LOYALTY_RENEW,Accepted,90.0
OFF-000080,CALL-00000080,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000081,CALL-00000081,OFR-001,RETENTION_2026,No Response,0.0
OFF-000082,CALL-00000082,OFR-002,UPSELL_FIBER,Accepted,27.5
OFF-000083,CALL-00000083,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000084,CALL-00000084,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000085,CALL-00000085,OFR-005,PREMIUM_UPGRADE,Accepted,65.0
OFF-000086,CALL-00000086,OFR-001,RETENTION_2026,Declined,0.0
OFF-000087,CALL-00000087,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000088,CALL-00000088,OFR-003,ADD_LINE_Q3,Accepted,102.5
OFF-000089,CALL-00000089,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000090,CALL-00000090,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000091,CALL-00000091,OFR-001,RETENTION_2026,Accepted,40.0
OFF-000092,CALL-00000092,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000093,CALL-00000093,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000094,CALL-00000094,OFR-004,LOYALTY_RENEW,Accepted,77.5
OFF-000095,CALL-00000095,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000096,CALL-00000096,OFR-001,RETENTION_2026,No Response,0.0
OFF-000097,CALL-00000097,OFR-002,UPSELL_FIBER,Accepted,15.0
OFF-000098,CALL-00000098,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000099,CALL-00000099,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000100,CALL-00000100,OFR-005,PREMIUM_UPGRADE,Accepted,52.5
OFF-000101,CALL-00000101,OFR-001,RETENTION_2026,Declined,0.0
OFF-000102,CALL-00000102,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000103,CALL-00000103,OFR-003,ADD_LINE_Q3,Accepted,90.0
OFF-000104,CALL-00000104,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000105,CALL-00000105,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000106,CALL-00000106,OFR-001,RETENTION_2026,Accepted,27.5
OFF-000107,CALL-00000107,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000108,CALL-00000108,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000109,CALL-00000109,OFR-004,LOYALTY_RENEW,Accepted,65.0
OFF-000110,CALL-00000110,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000111,CALL-00000111,OFR-001,RETENTION_2026,No Response,0.0
OFF-000112,CALL-00000112,OFR-002,UPSELL_FIBER,Accepted,102.5
OFF-000113,CALL-00000113,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000114,CALL-00000114,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000115,CALL-00000115,OFR-005,PREMIUM_UPGRADE,Accepted,40.0
OFF-000116,CALL-00000116,OFR-001,RETENTION_2026,Declined,0.0
OFF-000117,CALL-00000117,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000118,CALL-00000118,OFR-003,ADD_LINE_Q3,Accepted,77.5
OFF-000119,CALL-00000119,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000120,CALL-00000120,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000121,CALL-00000121,OFR-001,RETENTION_2026,Accepted,15.0
OFF-000122,CALL-00000122,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000123,CALL-00000123,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000124,CALL-00000124,OFR-004,LOYALTY_RENEW,Accepted,52.5
OFF-000125,CALL-00000125,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000126,CALL-00000126,OFR-001,RETENTION_2026,No Response,0.0
OFF-000127,CALL-00000127,OFR-002,UPSELL_FIBER,Accepted,90.0
OFF-000128,CALL-00000128,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000129,CALL-00000129,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000130,CALL-00000130,OFR-005,PREMIUM_UPGRADE,Accepted,27.5
OFF-000131,CALL-00000131,OFR-001,RETENTION_2026,Declined,0.0
OFF-000132,CALL-00000132,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000133,CALL-00000133,OFR-003,ADD_LINE_Q3,Accepted,65.0
OFF-000134,CALL-00000134,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000135,CALL-00000135,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000136,CALL-00000136,OFR-001,RETENTION_2026,Accepted,102.5
OFF-000137,CALL-00000137,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000138,CALL-00000138,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000139,CALL-00000139,OFR-004,LOYALTY_RENEW,Accepted,40.0
OFF-000140,CALL-00000140,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000141,CALL-00000141,OFR-001,RETENTION_2026,No Response,0.0
OFF-000142,CALL-00000142,OFR-002,UPSELL_FIBER,Accepted,77.5
OFF-000143,CALL-00000143,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000144,CALL-00000144,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000145,CALL-00000145,OFR-005,PREMIUM_UPGRADE,Accepted,15.0
OFF-000146,CALL-00000146,OFR-001,RETENTION_2026,Declined,0.0
OFF-000147,CALL-00000147,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000148,CALL-00000148,OFR-003,ADD_LINE_Q3,Accepted,52.5
OFF-000149,CALL-00000149,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000150,CALL-00000150,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000151,CALL-00000151,OFR-001,RETENTION_2026,Accepted,90.0
OFF-000152,CALL-00000152,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000153,CALL-00000153,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000154,CALL-00000154,OFR-004,LOYALTY_RENEW,Accepted,27.5
OFF-000155,CALL-00000155,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000156,CALL-00000156,OFR-001,RETENTION_2026,No Response,0.0
OFF-000157,CALL-00000157,OFR-002,UPSELL_FIBER,Accepted,65.0
OFF-000158,CALL-00000158,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000159,CALL-00000159,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000160,CALL-00000160,OFR-005,PREMIUM_UPGRADE,Accepted,102.5
OFF-000161,CALL-00000161,OFR-001,RETENTION_2026,Declined,0.0
OFF-000162,CALL-00000162,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000163,CALL-00000163,OFR-003,ADD_LINE_Q3,Accepted,40.0
OFF-000164,CALL-00000164,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000165,CALL-00000165,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000166,CALL-00000166,OFR-001,RETENTION_2026,Accepted,77.5
OFF-000167,CALL-00000167,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000168,CALL-00000168,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000169,CALL-00000169,OFR-004,LOYALTY_RENEW,Accepted,15.0
OFF-000170,CALL-00000170,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000171,CALL-00000171,OFR-001,RETENTION_2026,No Response,0.0
OFF-000172,CALL-00000172,OFR-002,UPSELL_FIBER,Accepted,52.5
OFF-000173,CALL-00000173,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000174,CALL-00000174,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000175,CALL-00000175,OFR-005,PREMIUM_UPGRADE,Accepted,90.0
OFF-000176,CALL-00000176,OFR-001,RETENTION_2026,Declined,0.0
OFF-000177,CALL-00000177,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000178,CALL-00000178,OFR-003,ADD_LINE_Q3,Accepted,27.5
OFF-000179,CALL-00000179,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000180,CALL-00000180,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000181,CALL-00000181,OFR-001,RETENTION_2026,Accepted,65.0
OFF-000182,CALL-00000182,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000183,CALL-00000183,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000184,CALL-00000184,OFR-004,LOYALTY_RENEW,Accepted,102.5
OFF-000185,CALL-00000185,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000186,CALL-00000186,OFR-001,RETENTION_2026,No Response,0.0
OFF-000187,CALL-00000187,OFR-002,UPSELL_FIBER,Accepted,40.0
OFF-000188,CALL-00000188,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000189,CALL-00000189,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000190,CALL-00000190,OFR-005,PREMIUM_UPGRADE,Accepted,77.5
OFF-000191,CALL-00000191,OFR-001,RETENTION_2026,Declined,0.0
OFF-000192,CALL-00000192,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000193,CALL-00000193,OFR-003,ADD_LINE_Q3,Accepted,15.0
OFF-000194,CALL-00000194,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000195,CALL-00000195,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000196,CALL-00000196,OFR-001,RETENTION_2026,Accepted,52.5
OFF-000197,CALL-00000197,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000198,CALL-00000198,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000199,CALL-00000199,OFR-004,LOYALTY_RENEW,Accepted,90.0
OFF-000200,CALL-00000200,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000201,CALL-00000201,OFR-001,RETENTION_2026,No Response,0.0
OFF-000202,CALL-00000202,OFR-002,UPSELL_FIBER,Accepted,27.5
OFF-000203,CALL-00000203,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000204,CALL-00000204,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000205,CALL-00000205,OFR-005,PREMIUM_UPGRADE,Accepted,65.0
OFF-000206,CALL-00000206,OFR-001,RETENTION_2026,Declined,0.0
OFF-000207,CALL-00000207,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000208,CALL-00000208,OFR-003,ADD_LINE_Q3,Accepted,102.5
OFF-000209,CALL-00000209,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000210,CALL-00000210,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000211,CALL-00000211,OFR-001,RETENTION_2026,Accepted,40.0
OFF-000212,CALL-00000212,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000213,CALL-00000213,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000214,CALL-00000214,OFR-004,LOYALTY_RENEW,Accepted,77.5
OFF-000215,CALL-00000215,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000216,CALL-00000216,OFR-001,RETENTION_2026,No Response,0.0
OFF-000217,CALL-00000217,OFR-002,UPSELL_FIBER,Accepted,15.0
OFF-000218,CALL-00000218,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000219,CALL-00000219,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000220,CALL-00000220,OFR-005,PREMIUM_UPGRADE,Accepted,52.5
OFF-000221,CALL-00000221,OFR-001,RETENTION_2026,Declined,0.0
OFF-000222,CALL-00000222,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000223,CALL-00000223,OFR-003,ADD_LINE_Q3,Accepted,90.0
OFF-000224,CALL-00000224,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000225,CALL-00000225,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000226,CALL-00000226,OFR-001,RETENTION_2026,Accepted,27.5
OFF-000227,CALL-00000227,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000228,CALL-00000228,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000229,CALL-00000229,OFR-004,LOYALTY_RENEW,Accepted,65.0
OFF-000230,CALL-00000230,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000231,CALL-00000231,OFR-001,RETENTION_2026,No Response,0.0
OFF-000232,CALL-00000232,OFR-002,UPSELL_FIBER,Accepted,102.5
OFF-000233,CALL-00000233,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000234,CALL-00000234,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000235,CALL-00000235,OFR-005,PREMIUM_UPGRADE,Accepted,40.0
OFF-000236,CALL-00000236,OFR-001,RETENTION_2026,Declined,0.0
OFF-000237,CALL-00000237,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000238,CALL-00000238,OFR-003,ADD_LINE_Q3,Accepted,77.5
OFF-000239,CALL-00000239,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000240,CALL-00000240,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000241,CALL-00000241,OFR-001,RETENTION_2026,Accepted,15.0
OFF-000242,CALL-00000242,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000243,CALL-00000243,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000244,CALL-00000244,OFR-004,LOYALTY_RENEW,Accepted,52.5
OFF-000245,CALL-00000245,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000246,CALL-00000246,OFR-001,RETENTION_2026,No Response,0.0
OFF-000247,CALL-00000247,OFR-002,UPSELL_FIBER,Accepted,90.0
OFF-000248,CALL-00000248,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000249,CALL-00000249,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000250,CALL-00000250,OFR-005,PREMIUM_UPGRADE,Accepted,27.5
OFF-000251,CALL-00000251,OFR-001,RETENTION_2026,Declined,0.0
OFF-000252,CALL-00000252,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000253,CALL-00000253,OFR-003,ADD_LINE_Q3,Accepted,65.0
OFF-000254,CALL-00000254,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000255,CALL-00000255,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000256,CALL-00000256,OFR-001,RETENTION_2026,Accepted,102.5
OFF-000257,CALL-00000257,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000258,CALL-00000258,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000259,CALL-00000259,OFR-004,LOYALTY_RENEW,Accepted,40.0
OFF-000260,CALL-00000260,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000261,CALL-00000261,OFR-001,RETENTION_2026,No Response,0.0
OFF-000262,CALL-00000262,OFR-002,UPSELL_FIBER,Accepted,77.5
OFF-000263,CALL-00000263,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000264,CALL-00000264,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000265,CALL-00000265,OFR-005,PREMIUM_UPGRADE,Accepted,15.0
OFF-000266,CALL-00000266,OFR-001,RETENTION_2026,Declined,0.0
OFF-000267,CALL-00000267,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000268,CALL-00000268,OFR-003,ADD_LINE_Q3,Accepted,52.5
OFF-000269,CALL-00000269,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000270,CALL-00000270,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000271,CALL-00000271,OFR-001,RETENTION_2026,Accepted,90.0
OFF-000272,CALL-00000272,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000273,CALL-00000273,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000274,CALL-00000274,OFR-004,LOYALTY_RENEW,Accepted,27.5
OFF-000275,CALL-00000275,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000276,CALL-00000276,OFR-001,RETENTION_2026,No Response,0.0
OFF-000277,CALL-00000277,OFR-002,UPSELL_FIBER,Accepted,65.0
OFF-000278,CALL-00000278,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000279,CALL-00000279,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000280,CALL-00000280,OFR-005,PREMIUM_UPGRADE,Accepted,102.5
OFF-000281,CALL-00000281,OFR-001,RETENTION_2026,Declined,0.0
OFF-000282,CALL-00000282,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000283,CALL-00000283,OFR-003,ADD_LINE_Q3,Accepted,40.0
OFF-000284,CALL-00000284,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000285,CALL-00000285,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000286,CALL-00000286,OFR-001,RETENTION_2026,Accepted,77.5
OFF-000287,CALL-00000287,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000288,CALL-00000288,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000289,CALL-00000289,OFR-004,LOYALTY_RENEW,Accepted,15.0
OFF-000290,CALL-00000290,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000291,CALL-00000291,OFR-001,RETENTION_2026,No Response,0.0
OFF-000292,CALL-00000292,OFR-002,UPSELL_FIBER,Accepted,52.5
OFF-000293,CALL-00000293,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000294,CALL-00000294,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000295,CALL-00000295,OFR-005,PREMIUM_UPGRADE,Accepted,90.0
OFF-000296,CALL-00000296,OFR-001,RETENTION_2026,Declined,0.0
OFF-000297,CALL-00000297,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000298,CALL-00000298,OFR-003,ADD_LINE_Q3,Accepted,27.5
OFF-000299,CALL-00000299,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000300,CALL-00000300,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000301,CALL-00000301,OFR-001,RETENTION_2026,Accepted,65.0
OFF-000302,CALL-00000302,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000303,CALL-00000303,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000304,CALL-00000304,OFR-004,LOYALTY_RENEW,Accepted,102.5
OFF-000305,CALL-00000305,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000306,CALL-00000306,OFR-001,RETENTION_2026,No Response,0.0
OFF-000307,CALL-00000307,OFR-002,UPSELL_FIBER,Accepted,40.0
OFF-000308,CALL-00000308,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000309,CALL-00000309,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000310,CALL-00000310,OFR-005,PREMIUM_UPGRADE,Accepted,77.5
OFF-000311,CALL-00000311,OFR-001,RETENTION_2026,Declined,0.0
OFF-000312,CALL-00000312,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000313,CALL-00000313,OFR-003,ADD_LINE_Q3,Accepted,15.0
OFF-000314,CALL-00000314,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000315,CALL-00000315,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000316,CALL-00000316,OFR-001,RETENTION_2026,Accepted,52.5
OFF-000317,CALL-00000317,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000318,CALL-00000318,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000319,CALL-00000319,OFR-004,LOYALTY_RENEW,Accepted,90.0
OFF-000320,CALL-00000320,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000321,CALL-00000321,OFR-001,RETENTION_2026,No Response,0.0
OFF-000322,CALL-00000322,OFR-002,UPSELL_FIBER,Accepted,27.5
OFF-000323,CALL-00000323,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000324,CALL-00000324,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000325,CALL-00000325,OFR-005,PREMIUM_UPGRADE,Accepted,65.0
OFF-000326,CALL-00000326,OFR-001,RETENTION_2026,Declined,0.0
OFF-000327,CALL-00000327,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000328,CALL-00000328,OFR-003,ADD_LINE_Q3,Accepted,102.5
OFF-000329,CALL-00000329,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000330,CALL-00000330,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000331,CALL-00000331,OFR-001,RETENTION_2026,Accepted,40.0
OFF-000332,CALL-00000332,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000333,CALL-00000333,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000334,CALL-00000334,OFR-004,LOYALTY_RENEW,Accepted,77.5
OFF-000335,CALL-00000335,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000336,CALL-00000336,OFR-001,RETENTION_2026,No Response,0.0
OFF-000337,CALL-00000337,OFR-002,UPSELL_FIBER,Accepted,15.0
OFF-000338,CALL-00000338,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000339,CALL-00000339,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000340,CALL-00000340,OFR-005,PREMIUM_UPGRADE,Accepted,52.5
