customer_id,region,age_band,plan_tier
CUST-00149,Northeast,55-64,Basic
CUST-00150,Southeast,65+,Plus
CUST-00151,Midwest,18-24,Premium
CUST-00152,West,25-34,Fiber
CUST-00153,Northeast,35-44,Basic
CUST-00154,Southeast,45-54,Plus
CUST-00155,Midwest,55-64,Premium
CUST-00156,West,65+,Fiber
CUST-00157,Northeast,18-24,Basic
CUST-00158,Southeast,25-34,Plus
CUST-00159,Midwest,35-44,Premium
CUST-00160,West,45-54,Fiber
CUST-00161,Northeast,55-64,Basic
CUST-00162,Southeast,65+,Plus
CUST-00163,Midwest,18-24,Premium
CUST-00164,West,25-34,Fiber
CUST-00165,Northeast,35-44,Basic
CUST-00166,Southeast,45-54,Plus
CUST-00167,Midwest,55-64,Premium
CUST-00168,West,65+,Fiber
CUST-00169,Northeast,18-24,Basic
CUST-00170,Southeast,25-34,Plus
CUST-00171,Midwest,35-44,Premium
CUST-00172,West,45-54,Fiber
CUST-00173,Northeast,55-64,Basic
CUST-00174,Southeast,65+,Plus
CUST-00175,Midwest,18-24,Premium
CUST-00176,West,25-34,Fiber
CUST-00177,Northeast,35-44,Basic
CUST-00178,Southeast,45-54,Plus
CUST-00179,Midwest,55-64,Premium
CUST-00180,West,65+,Fiber
CUST-00181,Northeast,18-24,Basic
CUST-00182,Southeast,25-34,Plus
CUST-00183,Midwest,35-44,Premium
CUST-00184,West,45-54,Fiber
CUST-00185,Northeast,55-64,Basic
CUST-00186,Southeast,65+,Plus
CUST-00187,Midwest,18-24,Premium
CUST-00188,West,25-34,Fiber
CUST-00189,Northeast,35-44,Basic
CUST-00190,Southeast,45-54,Plus
CUST-00191,Midwest,55-64,Premium
CUST-00192,West,65+,Fiber
CUST-00193,Northeast,18-24,Basic
CUST-00194,Southeast,25-34,Plus
CUST-00195,Midwest,35-44,Premium
CUST-00196,West,45-54,Fiber
CUST-00197,Northeast,55-64,Basic
CUST-00198,Southeast,65+,Plus
CUST-00199,Midwest,18-24,Premium
CUST-00200,West,25-34,Fiber
CUST-00201,Northeast,35-44,Basic
CUST-00202,Southeast,45-54,Plus
CUST-00203,Midwest,55-64,Premium
CUST-00204,West,65+,Fiber
CUST-00205,Northeast,18-24,Basic
CUST-00206,Southeast,25-34,Plus
CUST-00207,Midwest,35-44,Premium
CUST-00208,West,45-54,Fiber
CUST-00209,Northeast,55-64,Basic
CUST-00210,Southeast,65+,Plus
CUST-00211,Midwest,18-24,Premium
CUST-00212,West,25-34,Fiber
CUST-00213,Northeast,35-44,Basic
CUST-00214,Southeast,45-54,Plus
CUST-00215,Midwest,55-64,Premium
CUST-00216,West,65+,Fiber
CUST-00217,Northeast,18-24,Basic
CUST-00218,Southeast,25-34,Plus
CUST-00219,Midwest,35-44,Premium
CUST-00220,West,45-54,Fiber
CUST-00221,Northeast,55-64,Basic
CUST-00222,Southeast,65+,Plus
CUST-00223,Midwest,18-24,Premium
CUST-00224,West,25-34,Fiber
CUST-00225,Northeast,35-44,Basic
CUST-00226,Southeast,45-54,Plus
CUST-00227,Midwest,55-64,Premium
CUST-00228,West,65+,Fiber
CUST-00229,Northeast,18-24,Basic
CUST-00230,Southeast,25-34,Plus
CUST-00231,Midwest,35-44,Premium
CUST-00232,West,45-54,Fiber
CUST-00233,Northeast,55-64,Basic
CUST-00234,Southeast,65+,Plus
CUST-00235,Midwest,18-24,Premium
CUST-00236,West,25-34,Fiber
CUST-00237,Northeast,35-44,Basic
CUST-00238,Southeast,45-54,Plus
CUST-00239,Midwest,55-64,Premium
CUST-00240,West,65+,Fiber
CUST-00241,Northeast,18-24,Basic
CUST-00242,Southeast,25-34,Plus
CUST-00243,Midwest,35-44,Premium
CUST-00244,West,45-54,Fiber
CUST-00245,Northeast,55-64,Basic
CUST-00246,Southeast,65+,Plus
CUST-00247,Midwest,18-24,Premium
CUST-00248,West,25-34,Fiber
CUST-00249,Northeast,35-44,Basic
CUST-00250,Southeast,45-54,Plus
CUST-00251,Midwest,55-64,Premium
CUST-00252,West,65+,Fiber
CUST-00253,Northeast,18-24,Basic
CUST-00254,Southeast,25-34,Plus
CUST-00255,Midwest,35-44,Premium
CUST-00256,West,45-54,Fiber
CUST-00257,Northeast,55-64,Basic
CUST-00258,Southeast,65+,Plus
CUST-00259,Midwest,18-24,Premium
CUST-00260,West,25-34,Fiber
CUST-00261,Northeast,35-44,Basic
CUST-00262,Southeast,45-54,Plus
CUST-00263,Midwest,55-64,Premium
CUST-00264,West,65+,Fiber
CUST-00265,Northeast,18-24,Basic
CUST-00266,Southeast,25-34,Plus
CUST-00267,Midwest,35-44,Premium
CUST-00268,West,45-54,Fiber
CUST-00269,Northeast,55-64,Basic
CUST-00270,Southeast,65+,Plus
CUST-00271,Midwest,18-24,Premium
CUST-00272,West,25-34,Fiber
CUST-00273,Northeast,35-44,Basic
CUST-00274,Southeast,45-54,Plus
CUST-00275,Midwest,55-64,Premium
CUST-00276,West,65+,Fiber
CUST-00277,Northeast,18-24,Basic
CUST-00278,Southeast,25-34,Plus
CUST-00279,Midwest,35-44,Premium
CUST-00280,West,45-54,Fiber
CUST-00281,Northeast,55-64,Basic
CUST-00282,Southeast,65+,Plus
CUST-00283,Midwest,18-24,Premium
CUST-00284,West,25-34,Fiber
CUST-00285,Northeast,35-44,Basic
CUST-00286,Southeast,45-54,Plus
CUST-00287,Midwest,55-64,Premium
CUST-00288,West,65+,Fiber
CUST-00289,Northeast,18-24,Basic
CUST-00290,Southeast,25-34,Plus
CUST-00291,Midwest,35-44,Premium
CUST-00292,West,45-54,Fiber
CUST-00293,Northeast,55-64,Basic
CUST-00294,Southeast,65+,Plus
CUST-00295,Midwest,18-24,Premium
CUST-00296,West,25-34,Fiber
CUST-00297,Northeast,35-44,Basic
CUST-00298,Southeast,45-54,Plus
CUST-00299,Midwest,55-64,Premium
CUST-00300,West,65+,Fiber
