customer_id,account_num,party_type,segment,tenure_months,status,email_domain
CUST-00032,ACC-10000031,Organization,SMB,100,Active,contact.sample
CUST-00033,ACC-10000032,Individual,Enterprise,103,Active,example.com
CUST-00034,ACC-10000033,Organization,Consumer,106,Suspended,mail.test
CUST-00035,ACC-10000034,Individual,SMB,109,Closed,inbox.demo
CUST-00036,ACC-10000035,Organization,Enterprise,112,Active,contact.sample
CUST-00037,ACC-10000036,Individual,Consumer,115,Active,example.com
CUST-00038,ACC-10000037,Organization,SMB,118,Active,mail.test
CUST-00039,ACC-10000038,Individual,Enterprise,121,Suspended,inbox.demo
CUST-00040,ACC-10000039,Organization,Consumer,124,Closed,contact.sample
CUST-00041,ACC-10000040,Individual,SMB,127,Active,example.com
CUST-00042,ACC-10000041,Organization,Enterprise,130,Active,mail.test
CUST-00043,ACC-10000042,Individual,Consumer,133,Active,inbox.demo
CUST-00044,ACC-10000043,Organization,SMB,136,Suspended,contact.sample
CUST-00045,ACC-10000044,Individual,Enterprise,139,Closed,example.com
CUST-00046,ACC-10000045,Organization,Consumer,142,Active,mail.test
CUST-00047,ACC-10000046,Individual,SMB,145,Active,inbox.demo
CUST-00048,ACC-10000047,Organization,Enterprise,148,Active,contact.sample
CUST-00049,ACC-10000048,Individual,Consumer,151,Suspended,example.com
CUST-00050,ACC-10000049,Organization,SMB,154,Closed,mail.test
CUST-00051,ACC-10000050,Individual,Enterprise,157,Active,inbox.demo
CUST-00052,ACC-10000051,Organization,Consumer,160,Active,contact.sample
CUST-00053,ACC-10000052,Individual,SMB,163,Active,example.com
CUST-00054,ACC-10000053,Organization,Enterprise,166,Suspended,mail.test
CUST-00055,ACC-10000054,Individual,Consumer,169,Closed,inbox.demo
CUST-00056,ACC-10000055,Organization,SMB,172,Active,contact.sample
CUST-00057,ACC-10000056,Individual,Enterprise,175,Active,example.com
CUST-00058,ACC-10000057,Organization,Consumer,178,Active,mail.test
CUST-00059,ACC-10000058,Individual,SMB,181,Suspended,inbox.demo
CUST-00060,ACC-10000059,Organization,Enterprise,184,Closed,contact.sample
CUST-00061,ACC-10000060,Individual,Consumer,187,Active,example.com
CUST-00062,ACC-10000061,Organization,SMB,190,Active,mail.test
CUST-00063,ACC-10000062,Individual,Enterprise,193,Active,inbox.demo
CUST-00064,ACC-10000063,Organization,Consumer,196,Suspended,contact.sample
CUST-00065,ACC-10000064,Individual,SMB,199,Closed,example.com
CUST-00066,ACC-10000065,Organization,Enterprise,202,Active,mail.test
CUST-00067,ACC-10000066,Individual,Consumer,205,Active,inbox.demo
CUST-00068,ACC-10000067,Organization,SMB,208,Active,contact.sample
CUST-00069,ACC-10000068,Individual,Enterprise,211,Suspended,example.com
CUST-00070,ACC-10000069,Organization,Consumer,214,Closed,mail.test
CUST-00071,ACC-10000070,Individual,SMB,217,Active,inbox.demo
CUST-00072,ACC-10000071,Organization,Enterprise,220,Active,contact.sample
CUST-00073,ACC-10000072,Individual,Consumer,223,Active,example.com
CUST-00074,ACC-10000073,Organization,SMB,226,Suspended,mail.test
CUST-00075,ACC-10000074,Individual,Enterprise,229,Closed,inbox.demo
CUST-00076,ACC-10000075,Organization,Consumer,232,Active,contact.sample
CUST-00077,ACC-10000076,Individual,SMB,235,Active,example.com
CUST-00078,ACC-10000077,Organization,Enterprise,238,Active,mail.test
CUST-00079,ACC-10000078,Individual,Consumer,0,Suspended,inbox.demo
CUST-00080,ACC-10000079,Organization,SMB,3,Closed,contact.sample
CUST-00081,ACC-10000080,Individual,Enterprise,6,Active,example.com
CUST-00082,ACC-10000081,Organization,Consumer,9,Active,mail.test
CUST-00083,ACC-10000082,Individual,SMB,12,Active,inbox.demo
CUST-00084,ACC-10000083,Organization,Enterprise,15,Suspended,contact.sample
CUST-00085,ACC-10000084,Individual,Consumer,18,Closed,example.com
CUST-00086,ACC-10000085,Organization,SMB,21,Active,mail.test
CUST-00087,ACC-10000086,Individual,Enterprise,24,Active,inbox.demo
CUST-00088,ACC-10000087,Organization,Consumer,27,Active,contact.sample
CUST-00089,ACC-10000088,Individual,SMB,30,Suspended,example.com
CUST-00090,ACC-10000089,Organization,Enterprise,33,Closed,mail.test
CUST-00091,ACC-10000090,Individual,Consumer,36,Active,inbox.demo
CUST-00092,ACC-10000091,Organization,SMB,39,Active,contact.sample
CUST-00093,ACC-10000092,Individual,Enterprise,42,Active,example.com
CUST-00094,ACC-10000093,Organization,Consumer,45,Suspended,mail.test
CUST-00095,ACC-10000094,Individual,SMB,48,Closed,inbox.demo
CUST-00096,ACC-10000095,Organization,Enterprise,51,Active,contact.sample
CUST-00097,ACC-10000096,Individual,Consumer,54,Active,example.com
CUST-00098,ACC-10000097,Organization,SMB,57,Active,mail.test
CUST-00099,ACC-10000098,Individual,Enterprise,60,Suspended,inbox.demo
CUST-00100,ACC-10000099,Organization,Consumer,63,Closed,contact.sample
CUST-00101,ACC-10000100,Individual,SMB,66,Active,example.com
CUST-00102,ACC-10000101,Organization,Enterprise,69,Active,mail.test
CUST-00103,ACC-10000102,Individual,Consumer,72,Active,inbox.demo
CUST-00104,ACC-10000103,Organization,SMB,75,Suspended,contact.sample
CUST-00105,ACC-10000104,Individual,Enterprise,78,Closed,example.com
CUST-00106,ACC-10000105,Organization,Consumer,81,Active,mail.test
CUST-00107,ACC-10000106,Individual,SMB,84,Active,inbox.demo
CUST-00108,ACC-10000107,Organization,Enterprise,87,Active,contact.sample
CUST-00109,ACC-10000108,Individual,Consumer,90,Suspended,example.com
CUST-00110,ACC-10000109,Organization,SMB,93,Closed,mail.test
CUST-00111,ACC-10000110,Individual,Enterprise,96,Active,inbox.demo
CUST-00112,ACC-10000111,Organization,Consumer,99,Active,contact.sample
CUST-00113,ACC-10000112,Individual,SMB,102,Active,example.com
CUST-00114,ACC-10000113,Organization,Enterprise,105,Suspended,mail.test
CUST-00115,ACC-10000114,Individual,Consumer,108,Closed,inbox.demo
CUST-00116,ACC-10000115,Organization,SMB,111,Active,contact.sample
CUST-00117,ACC-10000116,Individual,Enterprise,114,Active,example.com
CUST-00118,ACC-10000117,Organization,Consumer,117,Active,mail.test
CUST-00119,ACC-10000118,Individual,SMB,120,Suspended,inbox.demo
CUST-00120,ACC-10000119,Organization,Enterprise,123,Closed,contact.sample
CUST-00121,ACC-10000120,Individual,Consumer,126,Active,example.com
CUST-00122,ACC-10000121,Organization,SMB,129,Active,mail.test
CUST-00123,ACC-10000122,Individual,Enterprise,132,Active,inbox.demo
CUST-00124,ACC-10000123,Organization,Consumer,135,Suspended,contact.sample
CUST-00125,ACC-10000124,Individual,SMB,138,Closed,example.com
CUST-00126,ACC-10000125,Organization,Enterprise,141,Active,mail.test
CUST-00127,ACC-10000126,Individual,Consumer,144,Active,inbox.demo
CUST-00128,ACC-10000127,Organization,SMB,147,Active,contact.sample
CUST-00129,ACC-10000128,Individual,Enterprise,150,Suspended,example.com
CUST-00130,ACC-10000129,Organization,Consumer,153,Closed,mail.test
CUST-00131,ACC-10000130,Individual,SMB,156,Active,inbox.demo
CUST-00132,ACC-10000131,Organization,Enterprise,159,Active,contact.sample
CUST-00133,ACC-10000132,Individual,Consumer,162,Active,example.com
CUST-00134,ACC-10000133,Organization,SMB,165,Suspended,mail.test
CUST-00135,ACC-10000134,Individual,Enterprise,168,Closed,inbox.demo
CUST-00136,ACC-10000135,Organization,Consumer,171,Active,contact.sample
CUST-00137,ACC-10000136,Individual,SMB,174,Active,example.com
CUST-00138,ACC-10000137,Organization,Enterprise,177,Active,mail.test
CUST-00139,ACC-10000138,Individual,Consumer,180,Suspended,inbox.demo
CUST-00140,ACC-10000139,Organization,SMB,183,Closed,contact.sample
CUST-00141,ACC-10000140,Individual,Enterprise,186,Active,example.com
CUST-00142,ACC-10000141,Organization,Consumer,189,Active,mail.test
CUST-00143,ACC-10000142,Individual,SMB,192,Active,inbox.demo
CUST-00144,ACC-10000143,Organization,Enterprise,195,Suspended,contact.sample
CUST-00145,ACC-10000144,Individual,Consumer,198,Closed,example.com
CUST-00146,ACC-10000145,Organization,SMB,201,Active,mail.test
CUST-00147,ACC-10000146,Individual,Enterprise,204,Active,inbox.demo
CUST-00148,ACC-10000147,Organization,Consumer,207,Active,contact.sample
CUST-00149,ACC-10000148,Individual,SMB,210,Suspended,example.com
CUST-00150,ACC-10000149,Organization,Enterprise,213,Closed,mail.test
CUST-00151,ACC-10000150,Individual,Consumer,216,Active,inbox.demo
CUST-00152,ACC-10000151,Organization,SMB,219,Active,contact.sample
CUST-00153,ACC-10000152,Individual,Enterprise,222,Active,example.com
CUST-00154,ACC-10000153,Organization,Consumer,225,Suspended,mail.test
CUST-00155,ACC-10000154,Individual,SMB,228,Closed,inbox.demo
CUST-00156,ACC-10000155,Organization,Enterprise,231,Active,contact.sample
CUST-00157,ACC-10000156,Individual,Consumer,234,Active,example.com
CUST-00158,ACC-10000157,Organization,SMB,237,Active,mail.test
CUST-00159,ACC-10000158,Individual,Enterprise,240,Suspended,inbox.demo
CUST-00160,ACC-10000159,Organization,Consumer,2,Closed,contact.sample
CUST-00161,ACC-10000160,Individual,SMB,5,Active,example.com
CUST-00162,ACC-10000161,Organization,Enterprise,8,Active,mail.test
CUST-00163,ACC-10000162,Individual,Consumer,11,Active,inbox.demo
CUST-00164,ACC-10000163,Organization,SMB,14,Suspended,contact.sample
CUST-00165,ACC-10000164,Individual,Enterprise,17,Closed,example.com
CUST-00166,ACC-10000165,Organization,Consumer,20,Active,mail.test
CUST-00167,ACC-10000166,Individual,SMB,23,Active,inbox.demo
CUST-00168,ACC-10000167,Organization,Enterprise,26,Active,contact.sample
CUST-00169,ACC-10000168,Individual,Consumer,29,Suspended,example.com
CUST-00170,ACC-10000169,Organization,SMB,32,Closed,mail.test
CUST-00171,ACC-10000170,Individual,Enterprise,35,Active,inbox.demo
CUST-00172,ACC-10000171,Organization,Consumer,38,Active,contact.sample
CUST-00173,ACC-10000172,Individual,SMB,41,Active,example.com
CUST-00174,ACC-10000173,Organization,Enterprise,44,Suspended,mail.test
CUST-00175,ACC-10000174,Individual,Consumer,47,Closed,inbox.demo
CUST-00176,ACC-10000175,Organization,SMB,50,Active,contact.sample
CUST-00177,ACC-10000176,Individual,Enterprise,53,Active,example.com
CUST-00178,ACC-10000177,Organization,Consumer,56,Active,mail.test
CUST-00179,ACC-10000178,Individual,SMB,59,Suspended,inbox.demo
CUST-00180,ACC-10000179,Organization,Enterprise,62,Closed,contact.sample
CUST-00181,ACC-10000180,Individual,Consumer,65,Active,example.com
CUST-00182,ACC-10000181,Organization,SMB,68,Active,mail.test
CUST-00183,ACC-10000182,Individual,Enterprise,71,Active,inbox.demo
CUST-00184,ACC-10000183,Organization,Consumer,74,Suspended,contact.sample
CUST-00185,ACC-10000184,Individual,SMB,77,Closed,example.com
CUST-00186,ACC-10000185,Organization,Enterprise,80,Active,mail.test
CUST-00187,ACC-10000186,Individual,Consumer,83,Active,inbox.demo
CUST-00188,ACC-10000187,Organization,SMB,86,Active,contact.sample
CUST-00189,ACC-10000188,Individual,Enterprise,89,Suspended,example.com
CUST-00190,ACC-10000189,Organization,Consumer,92,Closed,mail.test
CUST-00191,ACC-10000190,Individual,SMB,95,Active,inbox.demo
CUST-00192,ACC-10000191,Organization,Enterprise,98,Active,contact.sample
CUST-00193,ACC-10000192,Individual,Consumer,101,Active,example.com
CUST-00194,ACC-10000193,Organization,SMB,104,Suspended,mail.test
CUST-00195,ACC-10000194,Individual,Enterprise,107,Closed,inbox.demo
CUST-00196,ACC-10000195,Organization,Consumer,110,Active,contact.sample
CUST-00197,ACC-10000196,Individual,SMB,113,Active,example.com
CUST-00198,ACC-10000197,Organization,Enterprise,116,Active,mail.test
CUST-00199,ACC-10000198,Individual,Consumer,119,Suspended,inbox.demo
CUST-00200,ACC-10000199,Organization,SMB,122,Closed,contact.sample
CUST-00201,ACC-10000200,Individual,Enterprise,125,Active,example.com
CUST-00202,ACC-10000201,Organization,Consumer,128,Active,mail.test
CUST-00203,ACC-10000202,Individual,SMB,131,Active,inbox.demo
CUST-00204,ACC-10000203,Organization,Enterprise,134,Suspended,contact.sample
CUST-00205,ACC-10000204,Individual,Consumer,137,Closed,example.com
CUST-00206,ACC-10000205,Organization,SMB,140,Active,mail.test
CUST-00207,ACC-10000206,Individual,Enterprise,143,Active,inbox.demo
CUST-00208,ACC-10000207,Organization,Consumer,146,Active,contact.sample
CUST-00209,ACC-10000208,Individual,SMB,149,Suspended,example.com
CUST-00210,ACC-10000209,Organization,Enterprise,152,Closed,mail.test
CUST-00211,ACC-10000210,Individual,Consumer,155,Active,inbox.demo
CUST-00212,ACC-10000211,Organization,SMB,158,Active,contact.sample
CUST-00213,ACC-10000212,Individual,Enterprise,161,Active,example.com
CUST-00214,ACC-10000213,Organization,Consumer,164,Suspended,mail.test
CUST-00215,ACC-10000214,Individual,SMB,167,Closed,inbox.demo
CUST-00216,ACC-10000215,Organization,Enterprise,170,Active,contact.sample
CUST-00217,ACC-10000216,Individual,Consumer,173,Active,example.com
CUST-00218,ACC-10000217,Organization,SMB,176,Active,mail.test
CUST-00219,ACC-10000218,Individual,Enterprise,179,Suspended,inbox.demo
CUST-00220,ACC-10000219,Organization,Consumer,182,Closed,contact.sample
CUST-00221,ACC-10000220,Individual,SMB,185,Active,example.com
CUST-00222,ACC-10000221,Organization,Enterprise,188,Active,mail.test
CUST-00223,ACC-10000222,Individual,Consumer,191,Active,inbox.demo
CUST-00224,ACC-10000223,Organization,SMB,194,Suspended,contact.sample
CUST-00225,ACC-10000224,Individual,Enterprise,197,Closed,example.com
CUST-00226,ACC-10000225,Organization,Consumer,200,Active,mail.test
CUST-00227,ACC-10000226,Individual,SMB,203,Active,inbox.demo
CUST-00228,ACC-10000227,Organization,Enterprise,206,Active,contact.sample
CUST-00229,ACC-10000228,Individual,Consumer,209,Suspended,example.com
CUST-00230,ACC-10000229,Organization,SMB,212,Closed,mail.test
CUST-00231,ACC-10000230,Individual,Enterprise,215,Active,inbox.demo
CUST-00232,ACC-10000231,Organization,Consumer,218,Active,contact.sample
CUST-00233,ACC-10000232,Individual,SMB,221,Active,example.com
CUST-00234,ACC-10000233,Organization,Enterprise,224,Suspended,mail.test
CUST-00235,ACC-10000234,Individual,Consumer,227,Closed,inbox.demo
CUST-00236,ACC-10000235,Organization,SMB,230,Active,contact.sample
CUST-00237,ACC-10000236,Individual,Enterprise,233,Active,example.com
CUST-00238,ACC-10000237,Organization,Consumer,236,Active,mail.test
CUST-00239,ACC-10000238,Individual,SMB,239,Suspended,inbox.demo
CUST-00240,ACC-10000239,Organization,Enterprise,1,Closed,contact.sample
CUST-00241,ACC-10000240,Individual,Consumer,4,Active,example.com
CUST-00242,ACC-10000241,Organization,SMB,7,Active,mail.test
CUST-00243,ACC-10000242,Individual,Enterprise,10,Active,inbox.demo
CUST-00244,ACC-10000243,Organization,Consumer,13,Suspended,contact.sample
CUST-00245,ACC-10000244,Individual,SMB,16,Closed,example.com
CUST-00246,ACC-10000245,Organization,Enterprise,19,Active,mail.test
CUST-00247,ACC-10000246,Individual,Consumer,22,Active,inbox.demo
CUST-00248,ACC-10000247,Organization,SMB,25,Active,contact.sample
CUST-00249,ACC-10000248,Individual,Enterprise,28,Suspended,example.com
CUST-00250,ACC-10000249,Organization,Consumer,31,Closed,mail.test
CUST-00251,ACC-10000250,Individual,SMB,34,Active,inbox.demo
CUST-00252,ACC-10000251,Organization,Enterprise,37,Active,contact.sample
CUST-00253,ACC-10000252,Individual,Consumer,40,Active,example.com
CUST-00254,ACC-10000253,Organization,SMB,43,Suspended,mail.test
CUST-00255,ACC-10000254,Individual,Enterprise,46,Closed,inbox.demo
CUST-00256,ACC-10000255,Organization,Consumer,49,Active,contact.sample
CUST-00257,ACC-10000256,Individual,SMB,52,Active,example.com
CUST-00258,ACC-10000257,Organization,Enterprise,55,Active,mail.test
CUST-00259,ACC-10000258,Individual,Consumer,58,Suspended,inbox.demo
CUST-00260,ACC-10000259,Organization,SMB,61,Closed,contact.sample
CUST-00261,ACC-10000260,Individual,Enterprise,64,Active,example.com
CUST-00262,ACC-10000261,Organization,Consumer,67,Active,mail.test
CUST-00263,ACC-10000262,Individual,SMB,70,Active,inbox.demo
CUST-00264,ACC-10000263,Organization,Enterprise,73,Suspended,contact.sample
CUST-00265,ACC-10000264,Individual,Consumer,76,Closed,example.com
CUST-00266,ACC-10000265,Organization,SMB,79,Active,mail.test
CUST-00267,ACC-10000266,Individual,Enterprise,82,Active,inbox.demo
CUST-00268,ACC-10000267,Organization,Consumer,85,Active,contact.sample
CUST-00269,ACC-10000268,Individual,SMB,88,Suspended,example.com
CUST-00270,ACC-10000269,Organization,Enterprise,91,Closed,mail.test
CUST-00271,ACC-10000270,Individual,Consumer,94,Active,inbox.demo
CUST-00272,ACC-10000271,Organization,SMB,97,Active,contact.sample
CUST-00273,ACC-10000272,Individual,Enterprise,100,Active,example.com
CUST-00274,ACC-10000273,Organization,Consumer,103,Suspended,mail.test
CUST-00275,ACC-10000274,Individual,SMB,106,Closed,inbox.demo
CUST-00276,ACC-10000275,Organization,Enterprise,109,Active,contact.sample
CUST-00277,ACC-10000276,Individual,Consumer,112,Active,example.com
CUST-00278,ACC-10000277,Organization,SMB,115,Active,mail.test
CUST-00279,ACC-10000278,Individual,Enterprise,118,Suspended,inbox.demo
CUST-00280,ACC-10000279,Organization,Consumer,121,Closed,contact.sample
CUST-00281,ACC-10000280,Individual,SMB,124,Active,example.com
CUST-00282,ACC-10000281,Organization,Enterprise,127,Active,mail.test
CUST-00283,ACC-10000282,Individual,Consumer,130,Active,inbox.demo
CUST-00284,ACC-10000283,Organization,SMB,133,Suspended,contact.sample
CUST-00285,ACC-10000284,Individual,Enterprise,136,Closed,example.com
CUST-00286,ACC-10000285,Organization,Consumer,139,Active,mail.test
CUST-00287,ACC-10000286,Individual,SMB,142,Active,inbox.demo
CUST-00288,ACC-10000287,Organization,Enterprise,145,Active,contact.sample
CUST-00289,ACC-10000288,Individual,Consumer,148,Suspended,example.com
CUST-00290,ACC-10000289,Organization,SMB,151,Closed,mail.test
CUST-00291,ACC-10000290,Individual,Enterprise,154,Active,inbox.demo
CUST-00292,ACC-10000291,Organization,Consumer,157,Active,contact.sample
CUST-00293,ACC-10000292,Individual,SMB,160,Active,example.com
CUST-00294,ACC-10000293,Organization,Enterprise,163,Suspended,mail.test
CUST-00295,ACC-10000294,Individual,Consumer,166,Closed,inbox.demo
CUST-00296,ACC-10000295,Organization,SMB,169,Active,contact.sample
CUST-00297,ACC-10000296,Individual,Enterprise,172,Active,example.com
CUST-00298,ACC-10000297,Organization,Consumer,175,Active,mail.test
CUST-00299,ACC-10000298,Individual,SMB,178,Suspended,inbox.demo
CUST-00300,ACC-10000299,Organization,Enterprise,181,Closed,contact.sample
