call_id,intent_category,confidence_score,model_version
CALL-00000355,account_change,0.94,v1.2.0
CALL-00000356,outage,0.95,v1.2.0
CALL-00000357,general_inquiry,0.96,v1.2.0
CALL-00000358,billing,0.97,v1.2.0
CALL-00000359,technical,0.98,v1.2.0
CALL-00000360,cancel,0.99,v1.2.0
CALL-00000361,upgrade,0.55,v1.2.0
CALL-00000362,account_change,0.56,v1.2.0
CALL-00000363,outage,0.57,v1.2.0
CALL-00000364,general_inquiry,0.58,v1.2.0
CALL-00000365,billing,0.59,v1.2.0
CALL-00000366,technical,0.6,v1.2.0
CALL-00000367,cancel,0.61,v1.2.0
CALL-00000368,upgrade,0.62,v1.2.0
CALL-00000369,account_change,0.63,v1.2.0
CALL-00000370,outage,0.64,v1.2.0
CALL-00000371,general_inquiry,0.65,v1.2.0
CALL-00000372,billing,0.66,v1.2.0
CALL-00000373,technical,0.67,v1.2.0
CALL-00000374,cancel,0.68,v1.2.0
CALL-00000375,upgrade,0.69,v1.2.0
CALL-00000376,account_change,0.7,v1.2.0
CALL-00000377,outage,0.71,v1.2.0
CALL-00000378,general_inquiry,0.72,v1.2.0
CALL-00000379,billing,0.73,v1.2.0
CALL-00000380,technical,0.74,v1.2.0
CALL-00000381,cancel,0.75,v1.2.0
CALL-00000382,upgrade,0.76,v1.2.0
CALL-00000383,account_change,0.77,v1.2.0
CALL-00000384,outage,0.78,v1.2.0
CALL-00000385,general_inquiry,0.79,v1.2.0
CALL-00000386,billing,0.8,v1.2.0
CALL-00000387,technical,0.81,v1.2.0
CALL-00000388,cancel,0.82,v1.2.0
CALL-00000389,upgrade,0.83,v1.2.0
CALL-00000390,account_change,0.84,v1.2.0
CALL-00000391,outage,0.85,v1.2.0
CALL-00000392,general_inquiry,0.86,v1.2.0
CALL-00000393,billing,0.87,v1.2.0
CALL-00000394,technical,0.88,v1.2.0
CALL-00000395,cancel,0.89,v1.2.0
CALL-00000396,upgrade,0.9,v1.2.0
CALL-00000397,account_change,0.91,v1.2.0
CALL-00000398,outage,0.92,v1.2.0
CALL-00000399,general_inquiry,0.93,v1.2.0
CALL-00000400,billing,0.94,v1.2.0
CALL-00000401,technical,0.95,v1.2.0
CALL-00000402,cancel,0.96,v1.2.0
CALL-00000403,upgrade,0.97,v1.2.0
CALL-00000404,account_change,0.98,v1.2.0
CALL-00000405,outage,0.99,v1.2.0
CALL-00000406,general_inquiry,0.55,v1.2.0
CALL-00000407,billing,0.56,v1.2.0
CALL-00000408,technical,0.57,v1.2.0
CALL-00000409,cancel,0.58,v1.2.0
CALL-00000410,upgrade,0.59,v1.2.0
CALL-00000411,account_change,0.6,v1.2.0
CALL-00000412,outage,0.61,v1.2.0
CALL-00000413,general_inquiry,0.62,v1.2.0
CALL-00000414,billing,0.63,v1.2.0
CALL-00000415,technical,0.64,v1.2.0
CALL-00000416,cancel,0.65,v1.2.0
CALL-00000417,upgrade,0.66,v1.2.0
CALL-00000418,account_change,0.67,v1.2.0
CALL-00000419,outage,0.68,v1.2.0
CALL-00000420,general_inquiry,0.69,v1.2.0
CALL-00000421,billing,0.7,v1.2.0
CALL-00000422,technical,0.71,v1.2.0
CALL-00000423,cancel,0.72,v1.2.0
CALL-00000424,upgrade,0.73,v1.2.0
CALL-00000425,account_change,0.74,v1.2.0
CALL-00000426,outage,0.75,v1.2.0
CALL-00000427,general_inquiry,0.76,v1.2.0
CALL-00000428,billing,0.77,v1.2.0
CALL-00000429,technical,0.78,v1.2.0
CALL-00000430,cancel,0.79,v1.2.0
CALL-00000431,upgrade,0.8,v1.2.0
CALL-00000432,account_change,0.81,v1.2.0
CALL-00000433,outage,0.82,v1.2.0
CALL-00000434,general_inquiry,0.83,v1.2.0
CALL-00000435,billing,0.84,v1.2.0
CALL-00000436,technical,0.85,v1.2.0
CALL-00000437,cancel,0.86,v1.2.0
CALL-00000438,upgrade,0.87,v1.2.0
CALL-00000439,account_change,0.88,v1.2.0
CALL-00000440,outage,0.89,v1.2.0
CALL-00000441,general_inquiry,0.9,v1.2.0
CALL-00000442,billing,0.91,v1.2.0
CALL-00000443,technical,0.92,v1.2.0
CALL-00000444,cancel,0.93,v1.2.0
CALL-00000445,upgrade,0.94,v1.2.0
CALL-00000446,account_change,0.95,v1.2.0
CALL-00000447,outage,0.96,v1.2.0
CALL-00000448,general_inquiry,0.97,v1.2.0
CALL-00000449,billing,0.98,v1.2.0
CALL-00000450,technical,0.99,v1.2.0
CALL-00000451,cancel,0.55,v1.2.0
CALL-00000452,upgrade,0.56,v1.2.0
CALL-00000453,account_change,0.57,v1.2.0
CALL-00000454,outage,0.58,v1.2.0
CALL-00000455,general_inquiry,0.59,v1.2.0
CALL-00000456,billing,0.6,v1.2.0
CALL-00000457,technical,0.61,v1.2.0
CALL-00000458,cancel,0.62,v1.2.0
CALL-00000459,upgrade,0.63,v1.2.0
CALL-00000460,account_change,0.64,v1.2.0
CALL-00000461,outage,0.65,v1.2.0
CALL-00000462,general_inquiry,0.66,v1.2.0
CALL-00000463,billing,0.67,v1.2.0
CALL-00000464,technical,0.68,v1.2.0
CALL-00000465,cancel,0.69,v1.2.0
CALL-00000466,upgrade,0.7,v1.2.0
CALL-00000467,account_change,0.71,v1.2.0
CALL-00000468,outage,0.72,v1.2.0
CALL-00000469,general_inquiry,0.73,v1.2.0
CALL-00000470,billing,0.74,v1.2.0
CALL-00000471,technical,0.75,v1.2.0
CALL-00000472,cancel,0.76,v1.2.0
CALL-00000473,upgrade,0.77,v1.2.0
CALL-00000474,account_change,0.78,v1.2.0
CALL-00000475,outage,0.79,v1.2.0
CALL-00000476,general_inquiry,0.8,v1.2.0
CALL-00000477,billing,0.81,v1.2.0
CALL-00000478,technical,0.82,v1.2.0
CALL-00000479,cancel,0.83,v1.2.0
CALL-00000480,upgrade,0.84,v1.2.0
CALL-00000481,account_change,0.85,v1.2.0
CALL-00000482,outage,0.86,v1.2.0
CALL-00000483,general_inquiry,0.87,v1.2.0
CALL-00000484,billing,0.88,v1.2.0
CALL-00000485,technical,0.89,v1.2.0
CALL-00000486,cancel,0.9,v1.2.0
CALL-00000487,upgrade,0.91,v1.2.0
CALL-00000488,account_change,0.92,v1.2.0
CALL-00000489,outage,0.93,v1.2.0
CALL-00000490,general_inquiry,0.94,v1.2.0
CALL-00000491,billing,0.95,v1.2.0
CALL-00000492,technical,0.96,v1.2.0
CALL-00000493,cancel,0.97,v1.2.0
CALL-00000494,upgrade,0.98,v1.2.0
CALL-00000495,account_change,0.99,v1.2.0
CALL-00000496,outage,0.55,v1.2.0
CALL-00000497,general_inquiry,0.56,v1.2.0
CALL-00000498,billing,0.57,v1.2.0
CALL-00000499,technical,0.58,v1.2.0
CALL-00000500,cancel,0.59,v1.2.0
CALL-00000501,upgrade,0.6,v1.2.0
CALL-00000502,account_change,0.61,v1.2.0
CALL-00000503,outage,0.62,v1.2.0
CALL-00000504,general_inquiry,0.63,v1.2.0
CALL-00000505,billing,0.64,v1.2.0
CALL-00000506,technical,0.65,v1.2.0
CALL-00000507,cancel,0.66,v1.2.0
CALL-00000508,upgrade,0.67,v1.2.0
CALL-00000509,account_change,0.68,v1.2.0
CALL-00000510,outage,0.69,v1.2.0
CALL-00000511,general_inquiry,0.7,v1.2.0
CALL-00000512,billing,0.71,v1.2.0
CALL-00000513,technical,0.72,v1.2.0
CALL-00000514,cancel,0.73,v1.2.0
CALL-00000515,upgrade,0.74,v1.2.0
CALL-00000516,account_change,0.75,v1.2.0
CALL-00000517,outage,0.76,v1.2.0
CALL-00000518,general_inquiry,0.77,v1.2.0
CALL-00000519,billing,0.78,v1.2.0
CALL-00000520,technical,0.79,v1.2.0
CALL-00000521,cancel,0.8,v1.2.0
CALL-00000522,upgrade,0.81,v1.2.0
CALL-00000523,account_change,0.82,v1.2.0
CALL-00000524,outage,0.83,v1.2.0
CALL-00000525,general_inquiry,0.84,v1.2.0
CALL-00000526,billing,0.85,v1.2.0
CALL-00000527,technical,0.86,v1.2.0
CALL-00000528,cancel,0.87,v1.2.0
CALL-00000529,upgrade,0.88,v1.2.0
CALL-00000530,account_change,0.89,v1.2.0
CALL-00000531,outage,0.9,v1.2.0
CALL-00000532,general_inquiry,0.91,v1.2.0
CALL-00000533,billing,0.92,v1.2.0
CALL-00000534,technical,0.93,v1.2.0
CALL-00000535,cancel,0.94,v1.2.0
CALL-00000536,upgrade,0.95,v1.2.0
CALL-00000537,account_change,0.96,v1.2.0
CALL-00000538,outage,0.97,v1.2.0
CALL-00000539,general_inquiry,0.98,v1.2.0
CALL-00000540,billing,0.99,v1.2.0
CALL-00000541,technical,0.55,v1.2.0
CALL-00000542,cancel,0.56,v1.2.0
CALL-00000543,upgrade,0.57,v1.2.0
CALL-00000544,account_change,0.58,v1.2.0
CALL-00000545,outage,0.59,v1.2.0
CALL-00000546,general_inquiry,0.6,v1.2.0
CALL-00000547,billing,0.61,v1.2.0
CALL-00000548,technical,0.62,v1.2.0
CALL-00000549,cancel,0.63,v1.2.0
CALL-00000550,upgrade,0.64,v1.2.0
CALL-00000551,account_change,0.65,v1.2.0
CALL-00000552,outage,0.66,v1.2.0
CALL-00000553,general_inquiry,0.67,v1.2.0
CALL-00000554,billing,0.68,v1.2.0
CALL-00000555,technical,0.69,v1.2.0
CALL-00000556,cancel,0.7,v1.2.0
CALL-00000557,upgrade,0.71,v1.2.0
CALL-00000558,account_change,0.72,v1.2.0
CALL-00000559,outage,0.73,v1.2.0
CALL-00000560,general_inquiry,0.74,v1.2.0
CALL-00000561,billing,0.75,v1.2.0
CALL-00000562,technical,0.76,v1.2.0
CALL-00000563,cancel,0.77,v1.2.0
CALL-00000564,upgrade,0.78,v1.2.0
CALL-00000565,account_change,0.79,v1.2.0
CALL-00000566,outage,0.8,v1.2.0
CALL-00000567,general_inquiry,0.81,v1.2.0
CALL-00000568,billing,0.82,v1.2.0
CALL-00000569,technical,0.83,v1.2.0
CALL-00000570,cancel,0.84,v1.2.0
CALL-00000571,upgrade,0.85,v1.2.0
CALL-00000572,account_change,0.86,v1.2.0
CALL-00000573,outage,0.87,v1.2.0
CALL-00000574,general_inquiry,0.88,v1.2.0
CALL-00000575,billing,0.89,v1.2.0
CALL-00000576,technical,0.9,v1.2.0
CALL-00000577,cancel,0.91,v1.2.0
CALL-00000578,upgrade,0.92,v1.2.0
CALL-00000579,account_change,0.93,v1.2.0
CALL-00000580,outage,0.94,v1.2.0
CALL-00000581,general_inquiry,0.95,v1.2.0
CALL-00000582,billing,0.96,v1.2.0
CALL-00000583,technical,0.97,v1.2.0
CALL-00000584,cancel,0.98,v1.2.0
CALL-00000585,upgrade,0.99,v1.2.0
CALL-00000586,account_change,0.55,v1.2.0
CALL-00000587,outage,0.56,v1.2.0
CALL-00000588,general_inquiry,0.57,v1.2.0
CALL-00000589,billing,0.58,v1.2.0
CALL-00000590,technical,0.59,v1.2.0
CALL-00000591,cancel,0.6,v1.2.0
CALL-00000592,upgrade,0.61,v1.2.0
CALL-00000593,account_change,0.62,v1.2.0
CALL-00000594,outage,0.63,v1.2.0
CALL-00000595,general_inquiry,0.64,v1.2.0
CALL-00000596,billing,0.65,v1.2.0
CALL-00000597,technical,0.66,v1.2.0
CALL-00000598,cancel,0.67,v1.2.0
CALL-00000599,upgrade,0.68,v1.2.0
CALL-00000600,account_change,0.69,v1.2.0
CALL-00000601,outage,0.7,v1.2.0
CALL-00000602,general_inquiry,0.71,v1.2.0
CALL-00000603,billing,0.72,v1.2.0
